layout,ping_noise,condition,seed,escape_rate,time_to_exit_mean,jam_events_mean,path_eff_mean
bottleneck,0.08,rule_only,2,0.0,,0,
bottleneck,0.08,rule_only,3,0.6,705.4444444444445,0.06666666666666667,0.1734770165487056
bottleneck,0.08,rule_only,4,0.4,390.5,0,0.3135250825039623
bottleneck,0.08,rule_only,5,0.2,484.3333333333333,0,0.2497965004475696
bottleneck,0.08,rule_only,6,0.6666666666666666,417.5,0.06666666666666667,0.3039234142011558
bottleneck,0.08,rule_only,7,0.0,,0,
bottleneck,0.08,rule_only,8,0.7333333333333333,512.9090909090909,0,0.24503956933537677
bottleneck,0.08,rule_only,9,0.06666666666666667,884,0,0.11563078331437736
bottleneck,0.08,one_llm,0,0.9333333333333333,150.57142857142858,0.06666666666666667,0.7487751173173174
bottleneck,0.08,one_llm,1,1.0,199.06666666666666,0,0.5587937473340786
bottleneck,0.08,one_llm,2,0.8,194.83333333333334,0,0.5685528360856437
bottleneck,0.08,one_llm,3,0.9333333333333333,174.07142857142858,0.06666666666666667,0.6432352653321495
bottleneck,0.08,one_llm,4,0.9333333333333333,143.35714285714286,0,0.7911923077598438
bottleneck,0.08,one_llm,5,0.9333333333333333,285.85714285714283,0.06666666666666667,0.39583497365000897
bottleneck,0.08,one_llm,6,0.8666666666666667,149.23076923076923,0.06666666666666667,0.7619450611172685
bottleneck,0.08,one_llm,7,1.0,164.6,0,0.6921072656178192
bottleneck,0.08,one_llm,8,1.0,246.93333333333334,0,0.4567168851059763
bottleneck,0.08,one_llm,9,0.0,,0.13333333333333333,
bottleneck,0.12,rule_only,0,0.5333333333333333,499.5,0,0.21721884649258882
bottleneck,0.12,rule_only,1,0.8,282.0833333333333,0,0.38522595644082863
bottleneck,0.12,rule_only,2,0.0,,0,
bottleneck,0.12,rule_only,3,0.6,705.4444444444445,0.06666666666666667,0.1734770165487056
bottleneck,0.12,rule_only,4,0.4,390.5,0,0.3135250825039623
bottleneck,0.12,rule_only,5,0.2,484.3333333333333,0,0.2497965004475696
bottleneck,0.12,rule_only,6,0.6666666666666666,417.5,0.06666666666666667,0.3039234142011558
bottleneck,0.12,rule_only,7,0.0,,0,
bottleneck,0.12,rule_only,8,0.7333333333333333,512.9090909090909,0,0.24503956933537677
bottleneck,0.12,rule_only,9,0.06666666666666667,884,0,0.11563078331437736
bottleneck,0.12,one_llm,0,0.9333333333333333,151.78571428571428,0,0.7461535901469966
bottleneck,0.12,one_llm,1,0.9333333333333333,156.64285714285714,0,0.7215617366507722
bottleneck,0.12,one_llm,2,0.9333333333333333,230.07142857142858,0,0.48020239040877927
bottleneck,0.12,one_llm,3,0.9333333333333333,214.35714285714286,0.13333333333333333,0.5205628695238061
bottleneck,0.12,one_llm,4,0.9333333333333333,484.42857142857144,0,0.23011822829424708
bottleneck,0.12,one_llm,5,0.9333333333333333,391.07142857142856,0.2,0.28656155890095836
bottleneck,0.12,one_llm,6,0.8666666666666667,391.9230769230769,0.06666666666666667,0.27904060645918843
bottleneck,0.12,one_llm,7,1.0,165.93333333333334,0,0.6909212241151952
bottleneck,0.12,one_llm,8,1.0,187.6,0.06666666666666667,0.6053304310359781
bottleneck,0.12,one_llm,9,0.8666666666666667,221.46153846153845,0,0.4993126005027736
bottleneck,0.2,rule_only,0,0.5333333333333333,499.5,0,0.21721884649258882
bottleneck,0.2,rule_only,1,0.8,282.0833333333333,0,0.38522595644082863
bottleneck,0.2,rule_only,2,0.0,,0,
bottleneck,0.2,rule_only,3,0.6,705.4444444444445,0.06666666666666667,0.1734770165487056
bottleneck,0.2,rule_only,4,0.4,390.5,0,0.3135250825039623
bottleneck,0.2,rule_only,5,0.2,484.3333333333333,0,0.2497965004475696
bottleneck,0.2,rule_only,6,0.6666666666666666,417.5,0.06666666666666667,0.3039234142011558
bottleneck,0.2,rule_only,7,0.0,,0,
bottleneck,0.2,rule_only,8,0.7333333333333333,512.9090909090909,0,0.24503956933537677
bottleneck,0.2,rule_only,9,0.06666666666666667,884,0,0.11563078331437736
bottleneck,0.2,one_llm,0,1.0,230.46666666666667,0.06666666666666667,0.48353381416680136
bottleneck,0.2,one_llm,1,0.8,169,0,0.6602832185513802
bottleneck,0.2,one_llm,2,0.9333333333333333,202.5,0,0.553828256801159
bottleneck,0.2,one_llm,3,0.9333333333333333,231.5,0.13333333333333333,0.48558989199137564
bottleneck,0.2,one_llm,4,1.0,220.13333333333333,0,0.5132009796302721
bottleneck,0.2,one_llm,5,1.0,148.6,0,0.7663109576750362
bottleneck,0.2,one_llm,6,0.8666666666666667,537.1538461538462,0.13333333333333333,0.20418103313068534
bottleneck,0.2,one_llm,7,0.8,166.83333333333334,0,0.6698918964895747
bottleneck,0.2,one_llm,8,1.0,187.73333333333332,0,0.6056839401590263
bottleneck,0.2,one_llm,9,0.9333333333333333,932.3571428571429,0.06666666666666667,0.12007313631919479
zigzag,0.08,rule_only,0,0.6666666666666666,361.2,0.06666666666666667,0.28334106228623185
zigzag,0.08,rule_only,1,0.8,294.9166666666667,0,0.3485872376055836
zigzag,0.08,rule_only,2,0.7333333333333333,359.90909090909093,0,0.2821375624555193
zigzag,0.08,rule_only,3,0.7333333333333333,250.9090909090909,0,0.412452800891548
zigzag,0.08,rule_only,4,0.8,303.0833333333333,0,0.3479830840475866
zigzag,0.08,rule_only,5,0.8666666666666667,267.6923076923077,0,0.37769759659172136
zigzag,0.08,rule_only,6,0.8,437.4166666666667,0,0.24297274018128823
zigzag,0.08,rule_only,7,0.4666666666666667,572,0,0.1925116110639154
zigzag,0.08,rule_only,8,0.8666666666666667,470.15384615384613,0,0.26393498489468187
zigzag,0.08,rule_only,9,0.9333333333333333,250.21428571428572,0,0.4224139212851201
zigzag,0.08,one_llm,0,0.8666666666666667,209.69230769230768,0.13333333333333333,0.5200730095646303
zigzag,0.08,one_llm,1,0.8666666666666667,234.15384615384616,0,0.46884250826084445
zigzag,0.08,one_llm,2,0.9333333333333333,235.71428571428572,0,0.4666222854192341
zigzag,0.08,one_llm,3,0.9333333333333333,268.2142857142857,0.06666666666666667,0.4009067588138089
zigzag,0.08,one_llm,4,1.0,226.53333333333333,0.06666666666666667,0.4871848707347852
zigzag,0.08,one_llm,5,0.9333333333333333,209.71428571428572,0.06666666666666667,0.5266259979862281
zigzag,0.08,one_llm,6,1.0,287.3333333333333,0,0.3806818559304233
zigzag,0.08,one_llm,7,0.8,196.75,0.06666666666666667,0.5866681044296669
zigzag,0.08,one_llm,8,0.8666666666666667,348.61538461538464,0,0.3136963707026832
zigzag,0.08,one_llm,9,1.0,614.2,0.2,0.18028198648872357
zigzag,0.12,rule_only,0,0.6666666666666666,361.2,0.06666666666666667,0.28334106228623185
zigzag,0.12,rule_only,1,0.8,294.9166666666667,0,0.3485872376055836
zigzag,0.12,rule_only,2,0.7333333333333333,359.90909090909093,0,0.2821375624555193
zigzag,0.12,rule_only,3,0.7333333333333333,250.9090909090909,0,0.412452800891548
zigzag,0.12,rule_only,4,0.8,303.0833333333333,0,0.3479830840475866
zigzag,0.12,rule_only,5,0.8666666666666667,267.6923076923077,0,0.37769759659172136
zigzag,0.12,rule_only,6,0.8,437.4166666666667,0,0.24297274018128823
zigzag,0.12,rule_only,7,0.4666666666666667,572,0,0.1925116110639154
zigzag,0.12,rule_only,8,0.8666666666666667,470.15384615384613,0,0.26393498489468187
zigzag,0.12,rule_only,9,0.9333333333333333,250.21428571428572,0,0.4224139212851201
